iter	Passed	Remaining
409	5002	7199
410	5012	7183
411	5023	7169
412	5033	7154
413	5043	7139
414	5053	7123
415	5064	7109
416	5075	7096
417	5086	7082
418	5097	7068
419	5110	7056
420	5120	7042
421	5130	7026
422	5140	7012
423	5150	6997
424	5162	6984
425	5175	6973
426	5187	6961
427	5198	6947
428	5212	6937
429	5222	6922
430	5233	6908
431	5245	6897
432	5257	6884
433	5268	6870
434	5280	6857
435	5291	6844
436	5301	6829
437	5312	6817
438	5323	6803
439	5334	6789
440	5344	6774
441	5355	6760
442	5365	6746
443	5375	6731
444	5385	6716
445	5394	6701
446	5404	6686
447	5414	6671
448	5425	6657
449	5435	6643
450	5445	6628
451	5455	6614
452	5465	6599
453	5476	6586
454	5486	6571
455	5495	6556
456	5505	6541
457	5515	6527
458	5525	6512
459	5535	6498
460	5545	6483
461	5555	6469
462	5566	6456
463	5578	6443
464	5590	6432
465	5601	6419
466	5612	6405
467	5625	6394
468	5637	6382
469	5647	6367
470	5658	6355
471	5669	6341
472	5681	6329
473	5693	6317
474	5704	6304
475	5716	6292
476	5728	6280
477	5739	6267
478	5750	6254
479	5761	6241
480	5771	6227
481	5782	6214
482	5794	6202
483	5805	6189
484	5815	6175
485	5825	6161
486	5836	6148
487	5846	6134
488	5857	6120
489	5867	6106
490	5876	6091
491	5889	6080
492	5900	6067
493	5912	6056
494	5928	6048
495	5941	6037
496	5953	6025
497	5967	6015
498	5978	6002
499	5991	5991
500	6005	5981
501	6019	5971
502	6031	5959
503	6042	5946
504	6052	5933
505	6064	5920
506	6074	5906
507	6085	5893
508	6096	5880
509	6107	5868
510	6120	5856
511	6131	5843
512	6143	5831
513	6157	5822
514	6170	5810
515	6181	5798
516	6197	5790
517	6210	5778
518	6223	5767
519	6236	5756
520	6247	5743
521	6259	5731
522	6270	5718
523	6279	5704
524	6290	5691
525	6300	5677
526	6310	5663
527	6320	5649
528	6330	5636
529	6340	5622
530	6351	5610
531	6362	5597
532	6372	5583
533	6383	5570
534	6393	5556
535	6402	5542
536	6412	5528
537	6422	5515
538	6432	5501
539	6443	5488
540	6453	5475
541	6462	5460
542	6472	5447
543	6483	5434
544	6493	5421
545	6503	5407
546	6513	5394
547	6523	5380
548	6533	5367
549	6543	5353
550	6553	5340
551	6563	5326
552	6575	5315
553	6585	5301
554	6596	5288
555	6606	5275
556	6616	5262
557	6628	5250
558	6638	5236
559	6649	5224
560	6662	5213
561	6675	5202
562	6687	5190
563	6701	5180
564	6713	5168
565	6727	5158
566	6739	5146
567	6751	5135
568	6762	5122
569	6774	5110
570	6785	5098
571	6796	5085
572	6807	5072
573	6818	5060
574	6828	5046
575	6838	5033
576	6850	5022
577	6862	5010
578	6872	4997
579	6882	4984
580	6894	4971
581	6904	4958
582	6915	4946
583	6926	4933
584	6936	4920
585	6948	4908
586	6963	4899
587	6974	4887
588	6985	4874
589	7000	4864
590	7013	4853
591	7024	4841
592	7034	4828
593	7045	4815
594	7059	4805
595	7070	4793
596	7081	4780
597	7093	4768
598	7105	4756
599	7117	4744
600	7140	4740
601	7153	4729
602	7165	4717
603	7181	4708
604	7195	4697
605	7205	4684
606	7217	4672
607	7229	4661
608	7243	4650
609	7254	4638
610	7265	4625
611	7276	4613
612	7288	4601
613	7303	4591
614	7314	4578
615	7325	4566
616	7340	4556
617	7354	4546
618	7365	4533
619	7376	4521
620	7387	4508
621	7397	4495
622	7409	4483
623	7420	4471
624	7431	4458
625	7445	4448
626	7456	4435
627	7466	4422
628	7479	4411
629	7490	4399
630	7501	4387
631	7516	4376
632	7527	4364
633	7538	4351
634	7551	4340
635	7561	4327
636	7572	4315
637	7582	4302
638	7593	4289
639	7603	4277
640	7613	4263
641	7624	4251
642	7634	4238
643	7646	4226
644	7656	4214
645	7666	4201
646	7680	4190
647	7690	4177
648	7702	4165
649	7714	4153
650	7725	4141
651	7735	4128
652	7748	4117
653	7759	4105
654	7769	4092
655	7780	4080
656	7792	4068
657	7802	4055
658	7813	4043
659	7825	4031
660	7843	4022
661	7854	4010
662	7865	3997
663	7877	3986
664	7888	3973
665	7899	3961
666	7917	3952
667	7934	3943
668	7946	3931
669	7957	3919
670	7969	3907
671	7980	3895
672	7991	3882
673	8002	3870
674	8017	3860
675	8029	3848
676	8043	3837
677	8061	3828
678	8076	3818
679	8088	3806
680	8100	3794
681	8113	3783
682	8125	3771
683	8135	3758
684	8150	3748
685	8162	3736
686	8173	3724
687	8187	3713
688	8199	3701
689	8210	3688
690	8222	3676
691	8234	3665
692	8249	3654
693	8260	3642
694	8272	3630
695	8285	3619
696	8296	3606
697	8307	3594
698	8326	3585
699	8338	3573
700	8350	3561
701	8362	3550
702	8375	3538
703	8390	3527
704	8402	3516
705	8413	3503
706	8429	3493
707	8443	3482
708	8464	3474
709	8478	3463
710	8491	3451
711	8515	3444
712	8529	3433
713	8547	3423
714	8621	3436
715	8664	3436
716	8713	3439
717	8729	3428
718	8740	3416
719	8790	3418
720	8805	3407
721	8825	3398
722	8848	3390
723	8861	3377
724	8879	3367
725	8892	3355
726	8903	3343
727	8922	3333
728	8937	3322
729	8949	3310
730	8961	3297
731	8975	3286
732	8991	3275
733	9006	3264
734	9022	3253
735	9036	3241
736	9050	3229
737	9067	3219
738	9079	3206
739	9093	3194
740	9114	3185
741	9127	3173
742	9140	3161
743	9159	3151
744	9171	3139
745	9182	3126
746	9197	3115
747	9208	3102
748	9218	3089
749	9232	3077
750	9244	3064
751	9257	3052
752	9267	3040
753	9278	3027
754	9290	3014
755	9303	3002
756	9314	2990
757	9327	2978
758	9339	2965
759	9352	2953
760	9368	2942
761	9380	2930
762	9392	2917
763	9404	2905
764	9416	2892
765	9433	2881
766	9444	2868
767	9458	2857
768	9473	2845
769	9484	2833
770	9497	2820
771	9510	2808
772	9523	2796
773	9543	2786
774	9557	2774
775	9569	2762
776	9585	2750
777	9595	2738
778	9606	2725
779	9620	2713
780	9632	2700
781	9643	2688
782	9656	2676
783	9668	2663
784	9679	2651
785	9691	2638
786	9703	2626
787	9752	2623
788	9781	2615
789	9798	2604
790	9820	2594
791	9832	2582
792	9846	2570
793	9864	2559
794	9877	2547
795	9892	2535
796	9903	2522
797	9915	2510
798	9933	2498
799	9945	2486
800	9956	2473
801	9973	2462
802	9987	2450
803	10001	2438
804	10014	2425
805	10030	2414
806	10055	2404
807	10067	2392
808	10077	2379
809	10092	2367
810	10104	2354
811	10117	2342
812	10133	2330
813	10147	2318
814	10163	2306
815	10177	2294
816	10206	2286
817	10221	2274
818	10235	2262
819	10251	2250
820	10263	2237
821	10283	2226
822	10297	2214
823	10310	2202
824	10322	2189
825	10333	2176
826	10347	2164
827	10358	2151
828	10370	2139
829	10386	2127
830	10402	2115
831	10415	2103
832	10426	2090
833	10438	2077
834	10453	2065
835	10468	2053
836	10480	2041
837	10492	2028
838	10505	2015
839	10519	2003
840	10533	1991
841	10547	1979
842	10559	1966
843	10572	1954
844	10585	1941
845	10598	1929
846	10609	1916
847	10629	1905
848	10641	1892
849	10654	1880
